gene1,gene2
ANKRD63,PADI6
ANKRD63,PAPOLB
ANKRD63,PARG
ANKRD63,PCDHB9
ANKRD63,PCNX4
ANKRD63,PECAM1
ANKRD63,PHACTR1
ANKRD63,PIEZO2
ANKRD63,PKD1L3
ANKRD63,PLCXD1
ANKRD63,PLET1
ANKRD63,PPP2R3B
ANKRD63,PRR36
ANKRD63,PRSS41
ANKRD63,RAB44
ANKRD63,RNF225
ANKRD63,SEMA3B
ANKRD63,SHANK2
ANKRD63,SLC22A24
ANKRD63,SLC25A6
ANKRD63,SMAD5
ANKRD63,SMIM10L2B
ANKRD63,SMIM26
ANKRD63,SMIM33
ANKRD63,SPADH
ANKRD63,SPATA1
ANKRD63,SPDYE3
ANKRD63,SPON1
ANKRD63,SVOP
ANKRD63,TDRD15
ANKRD63,TERF1
ANKRD63,TRIM64C
ANKRD63,TTC6
ANKRD63,VPS11
ANKRD63,WDR64
ANKRD63,XKR5
ANKRD63,ZNF274
ANKRD63,ZNF518A
ANKRD63,ZNF678
ANKRD63,ZNF738
ANKRD63,ZNF888
ANKUB1,BECN2
ANKUB1,C10orf143
ANKUB1,C20orf204
ANKUB1,CECR2
ANKUB1,COL6A5
ANKUB1,DBX1
ANKUB1,DGKK
ANKUB1,FAM240A
ANKUB1,LRRC74B
ANKUB1,OPLAH
ANKUB1,P2RY8
ANKUB1,PLET1
ANKUB1,PPP4R3C
ANKUB1,RAB44
ANKUB1,RNF227
ANKUB1,SMIM10L2B
ANKUB1,SMIM23
ANKUB1,SMIM34
ANKUB1,TMEM272
ANKUB1,TVP23C
ANKUB1,XKR5
ANKUB1,ZFTRAF1
ANKUB1,ZNF274
ANKUB1,ZNF724
AP2M1,AP2S1
AP2M1,GART
AP2M1,GMPS
AP2M1,PAICS
AP2M1,PFAS
AP2M1,TFRC
AP2S1,TFRC
APELA,ASXL2
APELA,ATP6V1FNB
APELA,BECN2
APELA,BTNL2
APELA,C10orf143
APELA,C13orf42
APELA,C14orf132
APELA,C20orf204
APELA,C3orf49
APELA,CCDC154
APELA,CCDC188
APELA,CD300H
APELA,CLDN34
APELA,CLEC19A
APELA,COPG2
APELA,COPZ2
APELA,CTXND1
APELA,CYP4F8
APELA,DNAH17
